,Texto,Clase
0,"['medicin', 'art', '1', 'scienc', '2', 'practic', '3', 'care', 'patient', 'manag', 'diagnosi', 'prognosi', 'prevent', 'treatment', 'palliat', 'injuri', 'diseas', 'medicin', 'encompass', 'varieti']",1
1,"['health', 'care', 'practic', 'evolv', 'maintain', 'restor', 'health', 'prevent', 'treatment', 'ill', 'contemporari', 'medicin', 'appli', 'biomed', 'scienc', 'biomed', 'research', 'genet', 'medic', 'technolog']",1
2,"['diagnos', 'treat', 'prevent', 'injuri', 'diseas', 'typic', 'pharmaceut', 'surgeri', 'also', 'therapi', 'divers', 'psychotherapi', 'extern', 'splint', 'traction', 'medic', 'devic', 'biolog', 'ioniz', 'radiat']",1
3,"['medicin', 'practic', 'sinc', 'prehistor', 'time', 'art', 'area', 'skill', 'knowledg', 'frequent', 'connect', 'religi', 'philosoph', 'belief', 'local', 'cultur', 'exampl', 'medicin', 'man', 'would']",1
4,"['appli', 'herb', 'say', 'prayer', 'heal', 'ancient', 'philosoph', 'physician', 'would', 'appli', 'bloodlet', 'accord', 'theori', 'humor', 'recent', 'centuri', 'sinc', 'advent', 'modern', 'scienc']",1
5,"['medicin', 'becom', 'combin', 'art', 'scienc', 'basic', 'appli', 'umbrella', 'medic', 'scienc', 'stitch', 'techniqu', 'sutur', 'art', 'learn', 'practic', 'knowledg', 'happen', 'cellular', 'molecular']",1
6,"['prescientif', 'form', 'medicin', 'known', 'tradit', 'medicin', 'folk', 'medicin', 'remain', 'commonli', 'use', 'instead', 'scientif', 'medicin', 'thu', 'call', 'altern', 'medicin', 'exampl', 'evid']",1
7,"['effect', 'acupunctur', 'variabl', 'inconsist', 'condit', '5', 'gener', 'safe', 'done', 'appropri', 'train', 'practition', '6', 'contrast', 'altern', 'treatment', 'outsid', 'bound', 'scientif', 'medicin']",1
8,"['also', 'safeti', 'efficaci', 'term', 'quackeri', 'encompass', 'array', 'practic', 'practition', 'irrespect', 'whether', 'prescientif', 'tradit', 'medicin', 'folk', 'medicin', 'modern', 'pseudo-scientif', 'includ', 'chiropract']",1
9,"['reject', 'modern', 'scientif', 'germ', 'theori', 'diseas', 'instead', 'believ', 'without', 'evid', 'human', 'diseas', 'caus', 'invis', 'sublux', 'bone', 'predominantli', 'spine', 'less', 'bone']",1
10,"['medicin', 'uk', 'ˈmɛdsɪn', 'listen', 'us', 'ˈmɛdɪsɪn', 'listen', 'scienc', 'practic', 'diagnosi', 'prognosi', 'treatment', 'prevent', 'diseas', '7', '[8', 'word', 'medicin', 'deriv', 'latin']",1
11,"['medic', 'avail', 'clinic', 'practic', 'vari', 'across', 'world', 'due', 'region', 'differ', 'cultur', 'technolog', 'modern', 'scientif', 'medicin', 'highli', 'develop', 'western', 'world', 'develop']",1
12,"['develop', 'world', 'evidence-bas', 'medicin', 'univers', 'use', 'clinic', 'practic', 'exampl', '2007', 'survey', 'literatur', 'review', 'found', '49', 'intervent', 'lack', 'suffici', 'evid', 'support']",1
13,"['modern', 'clinic', 'practic', 'physician', 'physician', 'assist', 'person', 'assess', 'patient', 'order', 'diagnos', 'prognos', 'treat', 'prevent', 'diseas', 'use', 'clinic', 'judgment', 'doctor-pati', 'relationship']",1
14,"['typic', 'begin', 'interact', 'examin', ""patient'"", 'medic', 'histori', 'medic', 'record', 'follow', 'medic', 'interview', '13', 'physic', 'examin', 'basic', 'diagnost', 'medic', 'devic', 'e']",1
15,"['g', 'stethoscop', 'tongu', 'depressor', 'typic', 'use', 'examin', 'sign', 'interview', 'symptom', 'doctor', 'may', 'order', 'medic', 'test', 'e', 'g', 'blood', 'test', 'take']",1
16,"['biopsi', 'prescrib', 'pharmaceut', 'drug', 'therapi', 'differenti', 'diagnosi', 'method', 'help', 'rule', 'condit', 'base', 'inform', 'provid', 'encount', 'properli', 'inform', 'patient', 'relev', 'fact']",1
17,"['import', 'part', 'relationship', 'develop', 'trust', 'medic', 'encount', 'document', 'medic', 'record', 'legal', 'document', 'mani', 'jurisdict', '14', 'follow-up', 'may', 'shorter', 'follow', 'gener']",1
18,"['physic', 'examin', 'examin', 'patient', 'medic', 'sign', 'diseas', 'object', 'observ', 'contrast', 'symptom', 'volunt', 'patient', 'necessarili', 'object', 'observ', '15', 'healthcar', 'provid', 'use']",1
19,"['sight', 'hear', 'touch', 'sometim', 'smell', 'e', 'g', 'infect', 'uremia', 'diabet', 'ketoacidosi', 'four', 'action', 'basi', 'physic', 'examin', 'inspect', 'palpat', 'feel', 'percuss']",1
20,"['treatment', 'plan', 'may', 'includ', 'order', 'addit', 'medic', 'laboratori', 'test', 'medic', 'imag', 'studi', 'start', 'therapi', 'referr', 'specialist', 'watch', 'observ', 'follow-up', 'may']",1
21,"['advis', 'depend', 'upon', 'health', 'insur', 'plan', 'manag', 'care', 'system', 'variou', 'form', 'util', 'review', 'prior', 'author', 'test', 'may', 'place', 'barrier', 'access']",1
22,"['medic', 'decision-mak', 'mdm', 'process', 'involv', 'analysi', 'synthesi', 'data', 'come', 'list', 'possibl', 'diagnos', 'differenti', 'diagnos', 'along', 'idea', 'need', 'done', 'obtain', 'definit']",1
23,"['contemporari', 'medicin', 'gener', 'conduct', 'within', 'health', 'care', 'system', 'legal', 'credenti', 'financ', 'framework', 'establish', 'individu', 'govern', 'augment', 'occas', 'intern', 'organ', 'church']",1
24,"['ancient', 'time', 'christian', 'emphasi', 'practic', 'chariti', 'gave', 'rise', 'develop', 'systemat', 'nurs', 'hospit', 'cathol', 'church', 'today', 'remain', 'largest', 'non-govern', 'provid', 'medic']",1
25,"['servic', 'world', '22', 'advanc', 'industri', 'countri', 'except', 'unit', 'state', '23', '24', 'mani', 'develop', 'countri', 'provid', 'medic', 'servic', 'system', 'univers', 'health']",1
